0,-7
0,-7
0,-7
0,-8
0,-10
0,-10
0,-10
0,-09
0,-09
0,-10
2,-31
2,-34
2,-35
2,-32
2,-34
2,-34
2,-37
2,-31
2,-31
2,-35
4,-49
4,-47
4,-45
4,-44
4,-46
4,-48
4,-45
4,-44
4,-45
4,-47
6,-59
6,-60
6,-56
6,-56
6,-56
6,-55
6,-56
6,-56
6,-55
6,-55
8,-57
8,-55
8,-57
8,-57
8,-53
8,-56
8,-55
8,-62
8,-56
8,-61
10,-65
10,-63
10,-60
10,-64
10,-63
10,-64
10,-61
10,-65
10,-63
10,-67
12,-72
12,-67
12,-69
12,-66
12,-71
12,-72
12,-72
12,-72
12,-71
12,-64
14,-78
14,-75
14,-76
14,-72
14,-73
14,-74
14,-76
14,-74
14,-75
14,-73
16,-82
16,-77
16,-82
16,-85
16,-79
16,-86
16,-81
16,-85
16,-83
16,-82
18,-79
18,-85
18,-83
18,-84
18,-80
18,-83
18,-78
18,-80
18,-76
18,-75
