0,-20
0,-19
0,-17
0,-18
0,-17
0,-17
0,-19
0,-17
0,-18
0,-17
2,-46
2,-34
2,-39
2,-40
2,-31
2,-33
2,-33
2,-34
2,-41
2,-33
4,-49
4,-41
4,-41
4,-41
4,-47
4,-41
4,-43
4,-49
4,-42
4,-39
6,-50
6,-54
6,-55
6,-52
6,-54
6,-51
6,-52
6,-59
6,-57
6,-62
8,-59
8,-55
8,-56
8,-54
8,-59
8,-59
8,-61
8,-56
8,-54
8,-57
10,-60
10,-54
10,-54
10,-54
10,-57
10,-63
10,-59
10,-54
10,-54
10,-57
12,-57
12,-54
12,-55
12,-64
12,-66
12,-76
12,-72
12,-60
12,-69
12,-68
14,-59
14,-64
14,-53
14,-61
14,-61
14,-56
14,-59
14,-57
14,-55
14,-55
16,-60
16,-62
16,-62
16,-63
16,-59
16,-58
16,-60
16,-62
16,-61
16,-65
18,-70
18,-68
18,-64
18,-66
18,-62
18,-58
18,-65
18,-59
18,-72
18,-65

